model_name,anomaly_ratio,dataset_name,CCE,F1,Aff-F1,UAff-F1,AUC-ROC,VUS-PR
RF,0.1,PSM,4.640971192440331,9.893177504001189,46.56122430007344,34.288582070728005,60.36839743910102,41.2390955453667
SVM,0.1,PSM,6.09472474572744,11.69323662604469,42.42715699609595,31.52450294075411,63.878645939407605,45.37461139092477
AdaBoost,0.1,PSM,6.76165128771001,15.613931523022432,38.37565678325779,31.953427576261728,71.18423099066635,49.58423978468658
ExtraTrees,0.1,PSM,6.33079620924446,16.26425714708932,46.134770280651985,30.89324175301854,66.18839400164237,47.00954728490909
LightGBM,0.1,PSM,4.70766218075766,10.154265306873821,56.953194768014704,17.196119817753967,66.19571421682421,45.80744755836293
STAND,0.1,PSM,14.830588731548062,19.6759941089838,54.182499535043874,29.73885993066694,68.17387448072189,53.01070125907963
RF,0.2,PSM,10.27027331528663,17.00470000423423,47.992317953276796,22.765119792459902,71.47447263300752,51.471107697436494
SVM,0.2,PSM,10.21120618244468,17.18717073376322,44.59440586552678,31.406211168207037,76.13689318112903,55.27448821039359
AdaBoost,0.2,PSM,7.84711651410009,16.90984228725647,28.97212341509278,22.63767378612091,69.73230040679579,46.39314627844075
ExtraTrees,0.2,PSM,11.193664095957919,23.124733929331633,49.003348307188546,39.596459446240104,77.26127473149246,59.97996416446332
LightGBM,0.2,PSM,13.15652541758002,21.12361444767564,46.72754237069836,35.68534830412423,76.53261638380565,57.111343073220624
STAND,0.2,PSM,19.76112893810427,21.81481013191722,50.25823495758465,42.673343745278494,80.47772287904516,65.01086418303859
RF,0.3,PSM,8.7381367282602,6.15027560197273,23.28367859780271,19.88938259289909,65.95680269799655,36.9890601619716
SVM,0.3,PSM,6.07322076615302,0.23189750130442,27.774156034938308,-4.47920589217794,71.07284770562143,39.32079672903982
AdaBoost,0.3,PSM,10.051628732093521,20.059133862832628,34.13509597663122,29.51031649970871,70.79723429823991,39.94333107307043
ExtraTrees,0.3,PSM,5.48571110064187,5.914197566796671,19.84008061202672,18.33535538222532,66.48302141642284,36.65330851526105
LightGBM,0.3,PSM,4.27815036265832,5.959765783523681,25.941490119688893,22.02746105922139,62.6743803456269,33.79713753062866
STAND,0.3,PSM,18.61050347286496,17.38071772276653,53.52668475647187,39.56530608474839,77.55336391364578,48.66149380682809
RF,0.4,PSM,12.746858270505829,15.92666500374158,47.02101248233984,15.96929168626092,72.74351707090761,50.62438573885587
SVM,0.4,PSM,12.254841897352529,22.1331689272503,65.86674676618723,52.09423774839992,80.4234425167978,57.391054223633816
AdaBoost,0.4,PSM,10.768173010910829,17.94729371104116,38.85643716796677,27.34347791061153,71.87055708950957,43.72868624063301
ExtraTrees,0.4,PSM,11.55056710209759,23.59815989058808,60.906678589348274,46.202331279338225,78.33498752503822,59.07063496108442
LightGBM,0.4,PSM,11.4315164094417,16.20221948212084,54.278150649500276,35.701390381498,72.06206308165517,47.55822842030304
STAND,0.4,PSM,24.4743902481709,26.53514180024661,52.791622748446045,42.81557623203279,80.6624642516051,60.08638427444504
RF,0.5,PSM,8.50095285609212,14.77405153437783,67.10683023078036,44.62977945051328,65.64483478315758,53.50143861430988
SVM,0.5,PSM,8.24318676712345,17.842535787321058,60.60092201023598,42.37667559640828,74.68883861981772,57.42810990989198
AdaBoost,0.5,PSM,-6.7694610071956,7.54765419421089,64.82252951410148,26.154786959417592,44.863498186888926,36.34751450565426
ExtraTrees,0.5,PSM,9.511953843555808,15.13485874984021,64.12590617503776,46.88636560444681,72.44900973088502,54.86774138522696
LightGBM,0.5,PSM,9.6006469139408,14.35327198364008,66.81734922091422,32.530078398101345,59.48151717689849,42.4946775730481
STAND,0.5,PSM,24.13204411215869,27.236707566462158,49.2511962396133,45.2558794986842,72.40224808128201,63.23165766932826
